year,country_code,Population,gdp_per_capita_2017ppp,gdp_per_capita_current_ppp,gdp_per_capita_current_usd,,,,,
2006,JAM,2754407,10151,7965,4331,,,,,
2007,JAM,2768227,10245,8255,4624,,,,,
2008,JAM,2781876,10112,8306,4928,,,,,
2009,JAM,2795837,9625,7967,4335,,,,,
2010,JAM,2810460,9435,7900,4704,,,,,
2011,JAM,2825929,9545,8160,5111,,,,,
2012,JAM,2842132,9433,8187,5210,,,,,
2013,JAM,2858709,9425,8442,4989,,,,,
2014,JAM,2875136,9436,8544,4834,,,,,
2015,JAM,2891021,9471,8791,4908,,,,,
2016,JAM,2906238,9551,9193,4843,,,,,
2017,JAM,2920853,9598,9598,5069,,,,,
2018,JAM,2934855,9738,9975,5354,,,,,
2019,JAM,2948279,9761,10193,5582,,,,,
2006,JOR,5991540,11002,8620,2513,,,,,
2007,JOR,6255280,11400,9171,2735,,,,,
2008,JOR,6556478,11663,9565,3456,,,,,
2009,JOR,6893260,11650,9628,3560,,,,,
2010,JOR,7261539,11316,9460,3737,,,,,
2011,JOR,7663131,11016,9402,3853,,,,,
2012,JOR,8090872,10687,9188,3910,,,,,
2013,JOR,8520420,10413,9321,4044,,,,,
2014,JOR,8920049,10283,9180,4131,,,,,
2015,JOR,9266575,10146,9465,4164,,,,,
2016,JOR,9551467,10040,9449,4177,,,,,
2017,JOR,9779173,10010,10010,4234,,,,,
2018,JOR,9956011,10023,10267,4312,,,,,
2019,JOR,10101694,10071,10517,4405,,,,,
2006,JPN,127854000,38116,33090,35434,,,,,
2007,JPN,128001000,38702,34502,35275,,,,,
2008,JPN,128063000,38260,34799,39339,,,,,
2009,JPN,128047000,36192,33199,40855,,,,,
2010,JPN,128070000,37703,34987,44508,,,,,
2011,JPN,127833000,37729,35775,48168,,,,,
2012,JPN,127629000,38354,37191,48603,,,,,
2013,JPN,127445000,39178,38974,40454,,,,,
2014,JPN,127276000,39377,39179,38109,,,,,
2015,JPN,127141000,39901,40389,34524,,,,,
2016,JPN,126994511,40155,39964,38762,,,,,
2017,JPN,126785797,41094,41094,38387,,,,,
2018,JPN,126529100,41310,42811,39159,,,,,
2019,JPN,126264931,41667,43594,40247,,,,,
2006,KAZ,15308084,18113,15725,5292,,,,,
2007,KAZ,15484192,19500,17385,6771,,,,,
2008,KAZ,15674000,19900,18086,8514,,,,,
2009,KAZ,16092822,19615,17963,7165,,,,,
2010,KAZ,16321872,20751,19225,9070,,,,,
2011,KAZ,16557201,21970,20779,11634,,,,,
2012,KAZ,16792089,22703,22032,12387,,,,,
2013,KAZ,17035550,23721,24505,13891,,,,,
2014,KAZ,17288285,24356,24726,12807,,,,,
2015,KAZ,17542806,24290,23224,10511,,,,,
2016,KAZ,17794055,24211,23819,7715,,,,,
2017,KAZ,18037776,24863,24863,9248,,,,,
2018,KAZ,18276498.5,25544,26167,9813,,,,,
2019,KAZ,18513930,26351,27518,9812,,,,,
2006,KEN,37649033,3099,2017,686,,,,,
2007,KEN,38705932,3221,2152,826,,,,,
2008,KEN,39791981,3141,2139,902,,,,,
2009,KEN,40901792,3156,2166,905,,,,,
2010,KEN,42030676,3330,2312,952,,,,,
2011,KEN,43178257,3439,2438,972,,,,,
2012,KEN,44343410,3502,2530,1137,,,,,
2013,KEN,45519889,3612,2767,1210,,,,,
2014,KEN,46699981,3709,3021,1316,,,,,
2015,KEN,47878336,3825,3362,1337,,,,,
2016,KEN,49051686,3953,3635,1411,,,,,
2017,KEN,50221473,4046,4046,1572,,,,,
2018,KEN,51393010,4204,4306,1708,,,,,
2019,KEN,52573973,4330,4521,1817,,,,,
2006,KGZ,5218400,3588,2505,543,,,,,
2007,KGZ,5268400,3858,2766,722,,,,,
2008,KGZ,5318700,4142,3028,966,,,,,
2009,KGZ,5383300,4211,3101,871,,,,,
2010,KGZ,5447900,4141,3086,880,,,,,
2011,KGZ,5514600,4335,3297,1124,,,,,
2012,KGZ,5607200,4259,3618,1178,,,,,
2013,KGZ,5719600,4631,4043,1282,,,,,
2014,KGZ,5835500,4722,4282,1280,,,,,
2015,KGZ,5956900,4805,4215,1121,,,,,
2016,KGZ,6079500,4912,4681,1121,,,,,
2017,KGZ,6198200,5047,5047,1243,,,,,
2018,KGZ,6322800,5133,5258,1308,,,,,
2019,KGZ,6456900,5253,5486,1309,,,,,
2006,KHM,13477709,2313,1937,540,,,,,
2007,KHM,13679962,2512,2160,632,,,,,
2008,KHM,13883834,2641,2314,746,,,,,
2009,KHM,14093604,2604,2299,738,,,,,
2010,KHM,14312212,2717,2427,786,,,,,
2011,KHM,14541423,2863,2611,882,,,,,
2012,KHM,14780454,3023,2869,951,,,,,
2013,KHM,15026332,3192,3046,1013,,,,,
2014,KHM,15274503,3364,3185,1093,,,,,
2015,KHM,15521436,3544,3389,1163,,,,,
2016,KHM,15766293,3734,3675,1270,,,,,
2017,KHM,16009414,3928,3928,1385,,,,,
2018,KHM,16249798,4159,4261,1512,,,,,
2019,KHM,16486542,4389,4583,1643,,,,,
2006,KIR,94343,2105,1758,1168,,,,,
2007,KIR,96527,2099,1801,1374,,,,,
2008,KIR,98761,2008,1757,1428,,,,,
2009,KIR,100930,1981,1746,1312,,,,,
2010,KIR,102927,1925,1716,1517,,,,,
2011,KIR,104728,1922,1749,1735,,,,,
2012,KIR,106370,1981,1838,1789,,,,,
2013,KIR,107890,2036,1922,1716,,,,,
2014,KIR,109391,1994,1917,1643,,,,,
2015,KIR,110930,2171,2109,1543,,,,,
2016,KIR,112524,2250,2208,1585,,,,,
2017,KIR,114158,2237,2237,1641,,,,,
2018,KIR,115847,2256,2311,1698,,,,,
2019,KIR,117606,2272,2372,1655,,,,,
2006,KNA,47333,24114,21059,13614,,,,,
2007,KNA,47769,24037,21556,14430,,,,,
2008,KNA,48178,25292,23123,15593,,,,,
2009,KNA,48599,24058,22162,15388,,,,,
2010,KNA,49011,23710,22097,15510,,,,,
2011,KNA,49442,23933,22771,16540,,,,,
2012,KNA,49881,23194,21489,16046,,,,,
2013,KNA,50328,24226,22153,16686,,,,,
2014,KNA,50776,25521,23950,18051,,,,,
2015,KNA,51204,25569,23922,18029,,,,,
2016,KNA,51629,26076,24925,18810,,,,,
2017,KNA,52036,25360,25360,19159,,,,,
2018,KNA,52438,25902,26532,19277,,,,,
2019,KNA,52834,26438,27608,19935,,,,,
2006,KOR,48438292,30103,26875,21743,,,,,
2007,KOR,48683638,31688,29050,24086,,,,,
2008,KOR,49054708,32396,29946,21350,,,,,
2009,KOR,49307835,32485,29530,19144,,,,,
2010,KOR,49554112,34523,31748,23087,,,,,
2011,KOR,49936638,35521,32547,25096,,,,,
2012,KOR,50199853,36184,33557,25467,,,,,
2013,KOR,50428893,37160,34244,27183,,,,,
2014,KOR,50746659,38110,35324,29250,,,,,
2015,KOR,51014947,38974,37902,28732,,,,,
2016,KOR,51217803,39964,39575,29289,,,,,
2017,KOR,51361911,41111,41111,31617,,,,,
2018,KOR,51606633,42105,43679,33423,,,,,
2019,KOR,51709098,42879,44011,31846,,,,,
2006,KWT,2373672,75224,88660,42781,,,,,
2007,KWT,2504019,75581,91473,45782,,,,,
2008,KWT,2656009,73023,90096,55495,,,,,
2009,KWT,2821045,63886,79424,37562,,,,,
2010,KWT,2991884,58810,73966,38577,,,,,
2011,KWT,3168060,60887,78178,48632,,,,,
2012,KWT,3348853,61417,82680,51979,,,,,
2013,KWT,3526376,58995,78059,49388,,,,,
2014,KWT,3690941,56647,70082,44062,,,,,
2015,KWT,3835591,54834,47231,29870,,,,,
2016,KWT,3956875,54709,44685,27653,,,,,
2017,KWT,4056099,50855,50855,29759,,,,,
2018,KWT,4137312,50479,51708,33994,,,,,
2019,KWT,4207083,49854,52060,32000,,,,,
2006,LAO,5846074,3830,2829,591,,,,,
2007,LAO,5944948,4053,3074,710,,,,,
2008,LAO,6046620,4296,3322,900,,,,,
2009,LAO,6148623,4542,3539,949,,,,,
2010,LAO,6249165,4850,3823,1141,,,,,
2011,LAO,6347567,5159,4151,1378,,,,,
2012,LAO,6444530,5489,4842,1581,,,,,
2013,LAO,6541304,5842,5289,1826,,,,,
2014,LAO,6639756,6193,5874,1998,,,,,
2015,LAO,6741164,6544,6168,2135,,,,,
2016,LAO,6845846,6896,6844,2309,,,,,
2017,LAO,6953035,7258,7258,2424,,,,,
2018,LAO,7061507,7593,7778,2542,,,,,
2019,LAO,7169455,7826,8173,2535,,,,,
2006,LBN,4759753,14299,10282,4627,,,,,
2007,LBN,4767344,15606,11523,5208,,,,,
2008,LBN,4764741,17030,12819,6111,,,,,
2009,LBN,4813026,18584,14096,7355,,,,,
2010,LBN,4953061,19499,14962,7762,,,,,
2011,LBN,5202343,18726,14669,7675,,,,,
2012,LBN,5538634,18036,14817,7951,,,,,
2013,LBN,5914621,17533,14973,7931,,,,,
2014,LBN,6262410,16967,15026,7686,,,,,
2015,LBN,6532678,16299,15068,7645,,,,,
2016,LBN,6711121,16109,15487,7630,,,,,
2017,LBN,6811873,16005,16005,7801,,,,,
2018,LBN,6848925,15612,15992,8025,,,,,
2019,LBN,6855713,14552,15196,7584,,,,,
2006,LBR,3329211,1266,854,336,,,,,
2007,LBR,3461911,1333,924,397,,,,,
2008,LBR,3607860,1371,968,478,,,,,
2009,LBR,3754133,1387,987,471,,,,,
2010,LBR,3891356,1420,1022,513,,,,,
2011,LBR,4017443,1488,1094,597,,,,,
2012,LBR,4135659,1561,1174,658,,,,,
2013,LBR,4248334,1652,1339,722,,,,,
2014,LBR,4359505,1621,1382,721,,,,,
2015,LBR,4472230,1580,1292,710,,,,,
2016,LBR,4586788,1516,1379,715,,,,,
2017,LBR,4702228,1516,1516,699,,,,,
2018,LBR,4818977,1497,1533,677,,,,,
2019,LBR,4937374,1428,1491,622,,,,,
2006,LBY,5886872,20859,25925,9336,,,,,
2007,LBY,5974787,21857,27896,11300,,,,,
2008,LBY,6058748,22129,28793,14383,,,,,
2009,LBY,6133984,21685,28430,10275,,,,,
2010,LBY,6197663,22540,29895,12065,,,,,
2011,LBY,6247439,8480,11482,5554,,,,,
2012,LBY,6285750,18807,24285,13025,,,,,
2013,LBY,6320359,16160,19869,10364,,,,,
2014,LBY,6362037,12201,14303,6467,,,,,
2015,LBY,6418315,11022,12220,4338,,,,,
2016,LBY,6492164,10592,11109,4035,,,,,
2017,LBY,6580724,13238,13238,5757,,,,,
2018,LBY,6678567,15018,15384,7877,,,,,
2019,LBY,6777452,15174,15846,7686,,,,,
2006,LCA,165381,14096,11621,7669,,,,,
2007,LCA,167639,14141,11972,7970,,,,,
2008,LCA,170011,14634,12630,8457,,,,,
2009,LCA,172221,14038,12207,8138,,,,,
2010,LCA,174085,14110,12413,8540,,,,,
2011,LCA,175544,14760,13256,8983,,,,,
2012,LCA,176646,14639,13080,9087,,,,,
2013,LCA,177513,14105,13489,9379,,,,,
2014,LCA,178296,14290,13761,9844,,,,,
2015,LCA,179126,14030,13552,10094,,,,,
2016,LCA,180024,14517,14291,10362,,,,,
2017,LCA,180955,14946,14946,11047,,,,,
2018,LCA,181889,15261,15633,11358,,,,,
2019,LCA,182790,15449,16132,11611,,,,,
2006,LIE,34970,,,114391,,,,,
2007,LIE,35217,,,130656,,,,,
2008,LIE,35471,,,143256,,,,,
2009,LIE,35727,,,126082,,,,,
2010,LIE,35994,,,141200,,,,,
2011,LIE,36293,,,158157,,,,,
2012,LIE,36615,,,149010,,,,,
2013,LIE,36934,,,173058,,,,,
2014,LIE,37223,,,178846,,,,,
2015,LIE,37470,,,167291,,,,,
2016,LIE,37658,,,165629,,,,,
2017,LIE,37800,,,173356,,,,,
2018,LIE,37910,,,181403,,,,,
2019,LIE,38019,,,,,,,,
2006,LKA,19695972,7419,6242,1436,,,,,
2007,LKA,19842044,7865,6795,1630,,,,,
2008,LKA,19983984,8274,7288,2037,,,,,
2009,LKA,20123508,8508,7550,2090,,,,,
2010,LKA,20261737,9127,8194,2800,,,,,
2011,LKA,20398670,9828,9008,3201,,,,,
2012,LKA,20425000,10712,10315,3351,,,,,
2013,LKA,20585000,10990,10852,3610,,,,,
2014,LKA,20778000,11428,11257,3819,,,,,
2015,LKA,20970000,11891,11557,3844,,,,,
2016,LKA,21203000,12287,12224,3886,,,,,
2017,LKA,21444000,12584,12584,4077,,,,,
2018,LKA,21670000,12865,13178,4081,,,,,
2019,LKA,21803000,13078,13657,3853,,,,,
2006,LSO,1989939,1979,1772,905,,,,,
2007,LSO,1986922,2077,1911,864,,,,,
2008,LSO,1987129,2217,2079,885,,,,,
2009,LSO,1990131,2262,2137,891,,,,,
2010,LSO,1995581,2274,2174,1137,,,,,
2011,LSO,2003787,2386,2328,1309,,,,,
2012,LSO,2014990,2533,2354,1254,,,,,
2013,LSO,2028519,2621,2622,1194,,,,,
2014,LSO,2043437,2677,2872,1223,,,,,
2015,LSO,2059021,2727,3094,1152,,,,,
2016,LSO,2075001,2843,3063,1044,,,,,
2017,LSO,2091412,2783,2783,1150,,,,,
2018,LSO,2108132,2749,2815,1222,,,,,
2019,LSO,2125268,2704,2824,1118,,,,,
2006,LTU,3269909,23051,16462,9231,,,,,
2007,LTU,3231294,25918,19071,12285,,,,,
2008,LTU,3198231,26870,20721,14945,,,,,
2009,LTU,3162916,23139,18130,11821,,,,,
2010,LTU,3097282,24019,20112,11991,,,,,
2011,LTU,3028115,26052,22885,14393,,,,,
2012,LTU,2987773,27418,24704,14373,,,,,
2013,LTU,2957689,28680,26722,15727,,,,,
2014,LTU,2932367,29951,28184,16565,,,,,
2015,LTU,2904910,30846,28834,14258,,,,,
2016,LTU,2868231,32028,30925,14998,,,,,
2017,LTU,2828403,33870,33870,16885,,,,,
2018,LTU,2801543,35541,37493,19176,,,,,
2019,LTU,2786844,37278,40016,19602,,,,,
2006,LUX,472637,108025,77928,89740,,,,,
2007,LUX,479993,115256,83961,106018,,,,,
2008,LUX,488650,111765,86694,114294,,,,,
2009,LUX,497783,104933,82322,103199,,,,,
2010,LUX,506953,108047,85686,104965,,,,,
2011,LUX,518347,108356,92005,115762,,,,,
2012,LUX,530946,105411,91622,106749,,,,,
2013,LUX,543360,106767,95591,113625,,,,,
2014,LUX,556319,108761,101298,118824,,,,,
2015,LUX,569604,110799,103723,101376,,,,,
2016,LUX,582014,113397,110661,104278,,,,,
2017,LUX,596336,112667,112667,107627,,,,,
2018,LUX,607950,113952,120326,116654,,,,,
2019,LUX,619896,114323,124591,114705,,,,,
2006,LVA,2218357,22875,15799,9700,,,,,
2007,LVA,2200325,25375,18185,14091,,,,,
2008,LVA,2177322,24790,19520,16422,,,,,
2009,LVA,2141669,21609,16976,12288,,,,,
2010,LVA,2097555,21091,17657,11384,,,,,
2011,LVA,2059709,22868,19879,13895,,,,,
2012,LVA,2034319,24138,21408,13926,,,,,
2013,LVA,2012647,24961,22813,15121,,,,,
2014,LVA,1993782,25468,23804,15714,,,,,
2015,LVA,1977527,26706,24961,13775,,,,,
2016,LVA,1959537,27591,26710,14316,,,,,
2017,LVA,1942248,28741,28741,15682,,,,,
2018,LVA,1927174,30132,31771,17858,,,,,
2019,LVA,1912789,30982,33021,17829,,,,,
2006,MAC,493799,85302,67443,29951,,,,,
2007,MAC,504511,95553,77578,36353,,,,,
2008,MAC,515239,96739,80069,40598,,,,,
2009,MAC,526400,95939,80012,40797,,,,,
2010,MAC,538219,117538,99167,52253,,,,,
2011,MAC,550832,139737,120359,66644,,,,,
2012,MAC,564039,149071,133521,76292,,,,,
2013,MAC,577372,161939,153610,89287,,,,,
2014,MAC,590208,156514,154096,93777,,,,,
2015,MAC,602085,120295,117110,75341,,,,,
2016,MAC,612836,117336,115698,74061,,,,,
2017,MAC,622585,126918,126918,81517,,,,,
2018,MAC,631636,131908,135121,87209,,,,,
2019,MAC,640445,123965,129451,84096,,,,,
2006,MAF,35237,,,,,,,,
2007,MAF,36137,,,,,,,,
2008,MAF,36885,,,,,,,,
2009,MAF,37377,,,,,,,,
2010,MAF,37582,,,,,,,,
2011,MAF,37446,,,,,,,,
2012,MAF,37009,,,,,,,,
2013,MAF,36453,,,,,,,,
2014,MAF,36015,,,,,,,,
2015,MAF,35858,,,,,,,,
2016,MAF,36065,,,,,,,,
2017,MAF,36560,,,,,,,,
2018,MAF,37264,,,,,,,,
2019,MAF,38002,,,,,,,,
2006,MAR,30804683,5560,5251,2196,,,,,
2007,MAR,31163673,5690,5517,2499,,,,,
2008,MAR,31536811,5955,5887,2890,,,,,
2009,MAR,31929087,6132,6107,2867,,,,,
2010,MAR,32343389,6284,6332,2840,,,,,
2011,MAR,32781850,6525,6712,3047,,,,,
2012,MAR,33241898,6628,6702,2913,,,,,
2013,MAR,33715693,6831,6916,3122,,,,,
2014,MAR,34192347,6915,6610,3172,,,,,
2015,MAR,34663603,7130,7025,2875,,,,,
2016,MAR,35126296,7109,7113,2897,,,,,
2017,MAR,35581294,7314,7314,3036,,,,,
2018,MAR,36029138,7438,7613,3222,,,,,
2019,MAR,36471769,7515,7826,3204,,,,,
2006,MCO,34190,,,134045,,,,,
2007,MCO,34525,,,169961,,,,,
2008,MCO,34872,,,185722,,,,,
2009,MCO,35226,,,154762,,,,,
2010,MCO,35612,,,150725,,,,,
2011,MCO,36024,,,169021,,,,,
2012,MCO,36460,,,157516,,,,,
2013,MCO,36901,,,177664,,,,,
2014,MCO,37322,,,189422,,,,,
2015,MCO,37718,,,166012,,,,,
2016,MCO,38070,,,170029,,,,,
2017,MCO,38392,,,167517,,,,,
2018,MCO,38682,,,185829,,,,,
2019,MCO,38964,,,,,,,,
2006,MDA,2880095,7600,5327,1183,,,,,
2007,MDA,2873429,7846,5648,1532,,,,,
2008,MDA,2867964,8474,6218,2111,,,,,
2009,MDA,2864346,7975,5897,1899,,,,,
2010,MDA,2861487,8550,6396,2438,,,,,
2011,MDA,2859833,9053,6914,2942,,,,,
2012,MDA,2859458,9001,7363,3046,,,,,
2013,MDA,2858692,9817,8382,3322,,,,,
2014,MDA,2856950,10314,8827,3329,,,,,
2015,MDA,2834530,10361,9255,2732,,,,,
2016,MDA,2802170,10943,10610,2880,,,,,
2017,MDA,2755158,11651,11651,3510,,,,,
2018,MDA,2706049,12373,12674,4234,,,,,
2019,MDA,2657637,13050,13627,4504,,,,,
2006,MDG,18880269,1597,1479,339,,,,,
2007,MDG,19433530,1640,1559,439,,,,,
2008,MDG,19996473,1701,1649,536,,,,,
2009,MDG,20569117,1588,1551,468,,,,,
2010,MDG,21151640,1553,1535,472,,,,,
2011,MDG,21743967,1535,1548,531,,,,,
2012,MDG,22346641,1539,1531,518,,,,,
2013,MDG,22961253,1532,1535,541,,,,,
2014,MDG,23589887,1541,1556,531,,,,,
2015,MDG,24234088,1547,1547,467,,,,,
2016,MDG,24894380,1566,1607,476,,,,,
2017,MDG,25570540,1584,1584,515,,,,,
2018,MDG,26262368,1613,1652,528,,,,,
2019,MDG,26969307,1647,1720,523,,,,,
2006,MDV,327487,15517,11337,4810,,,,,
2007,MDV,335169,16331,12252,5574,,,,,
2008,MDV,343452,17449,13345,6614,,,,,
2009,MDV,353398,15732,12124,6636,,,,,
2010,MDV,365734,16306,12712,7077,,,,,
2011,MDV,380495,17016,13543,7291,,,,,
2012,MDV,397237,16709,13691,7266,,,,,
2013,MDV,415593,17134,14774,7928,,,,,
2014,MDV,435015,17569,15993,8499,,,,,
2015,MDV,454915,17285,16769,9033,,,,,
2016,MDV,475513,17584,17411,9209,,,,,
2017,MDV,496402,18058,18058,9578,,,,,
2018,MDV,515696,18796,19254,10277,,,,,
2019,MDV,530953,19531,20395,10627,,,,,
2006,MEX,107560153,18380,13808,9068,,,,,
2007,MEX,109170502,18523,14290,9643,,,,,
2008,MEX,110815271,18457,14925,10017,,,,,
2009,MEX,112463887,17225,14558,8003,,,,,
2010,MEX,114092963,17848,15261,9271,,,,,
2011,MEX,115695473,18246,16520,10203,,,,,
2012,MEX,117274155,18656,17163,10242,,,,,
2013,MEX,118827161,18661,17374,10725,,,,,
2014,MEX,120355128,18949,18057,10929,,,,,
2015,MEX,121858258,19332,18301,9617,,,,,
2016,MEX,123333376,19603,19324,8745,,,,,
2017,MEX,124777324,19786,19786,9288,,,,,
2018,MEX,126190788,19994,20349,9687,,,,,
2019,MEX,127575529,19766,20944,9946,,,,,
2006,MHL,55767,3526,2946,2609,,,,,
2007,MHL,56051,3605,3093,2745,,,,,
2008,MHL,56174,3355,2934,2726,,,,,
2009,MHL,56250,3398,2995,2698,,,,,
2010,MHL,56366,3648,3252,2877,,,,,
2011,MHL,56531,3610,3286,3084,,,,,
2012,MHL,56717,3512,3259,3224,,,,,
2013,MHL,56938,3629,3426,3297,,,,,
2014,MHL,57179,3580,3442,3230,,,,,
2015,MHL,57439,3620,3517,3214,,,,,
2016,MHL,57735,3649,3581,3474,,,,,
2017,MHL,58058,3776,3776,3667,,,,,
2018,MHL,58413,3889,3983,3788,,,,,
2019,MHL,58791,,,,,,,,
2006,MKD,2063131,11677,8582,3326,,,,,
2007,MKD,2065426,12419,9241,4036,,,,,
2008,MKD,2067313,13086,10418,4793,,,,,
2009,MKD,2069039,13029,10920,4544,,,,,
2010,MKD,2070741,13455,11283,4543,,,,,
2011,MKD,2072487,13758,11611,5064,,,,,
2012,MKD,2074278,13684,11840,4698,,,,,
2013,MKD,2076067,14072,12654,5211,,,,,
2014,MKD,2077775,14571,13368,5468,,,,,
2015,MKD,2079328,15121,13827,4840,,,,,
2016,MKD,2080745,15541,15078,5129,,,,,
2017,MKD,2081996,15700,15700,5431,,,,,
2018,MKD,2082958,16148,17198,6089,,,,,
2019,MKD,2083459,16660,18108,6022,,,,,
2006,MLI,13203378,1984,1595,523,,,,,
2007,MLI,13651464,1986,1639,597,,,,,
2008,MLI,14113577,2012,1694,694,,,,,
2009,MLI,14581429,2041,1731,699,,,,,
2010,MLI,15049353,2083,1787,710,,,,,
2011,MLI,15514591,2085,1827,838,,,,,
2012,MLI,15979499,2008,1764,779,,,,,
2013,MLI,16449864,1995,1813,805,,,,,
2014,MLI,16934220,2075,1915,848,,,,,
2015,MLI,17438778,2140,2033,751,,,,,
2016,MLI,17965429,2199,2189,781,,,,,
2017,MLI,18512394,2247,2247,830,,,,,
2018,MLI,19077690,2284,2339,895,,,,,
2019,MLI,19658031,2322,2424,879,,,,,
2006,MLT,405308,29626,23290,16724,,,,,
2007,MLT,406724,30932,25029,19486,,,,,
2008,MLT,409379,31907,26523,22205,,,,,
2009,MLT,412477,31309,26669,21083,,,,,
2010,MLT,414508,32882,28745,21799,,,,,
2011,MLT,416268,32896,28973,23156,,,,,
2012,MLT,420028,33944,30244,22528,,,,,
2013,MLT,425967,35303,32296,24771,,,,,
2014,MLT,434558,37247,34344,26754,,,,,
2015,MLT,445053,39863,37455,24922,,,,,
2016,MLT,455356,40477,39695,25618,,,,,
2017,MLT,467999,42540,42540,28092,,,,,
2018,MLT,484630,43207,45534,30437,,,,,
2019,MLT,502653,43708,47578,29821,,,,,
2006,MMR,49301050,2147,2084,294,,,,,
2007,MMR,49621475,2388,2381,407,,,,,
2008,MMR,49929642,2617,2660,638,,,,,
2009,MMR,50250367,2875,2944,734,,,,,
2010,MMR,50600818,3130,3243,979,,,,,
2011,MMR,50990615,3280,3469,1176,,,,,
2012,MMR,51413698,3491,3727,1166,,,,,
2013,MMR,51852451,3753,4016,1162,,,,,
2014,MMR,52280807,4020,4246,1252,,,,,
2015,MMR,52680726,4269,4417,1287,,,,,
2016,MMR,53045226,4483,4492,1267,,,,,
2017,MMR,53382581,4740,4740,1292,,,,,
2018,MMR,53708395,5029,5152,1418,,,,,
2019,MMR,54045420,5142,5370,1408,,,,,
2006,MNE,615025,15282,10445,4426,,,,,
2007,MNE,615875,16300,12444,5976,,,,,
2008,MNE,616969,17447,13817,7368,,,,,
2009,MNE,618294,16400,13032,6727,,,,,
2010,MNE,619428,16818,13646,6688,,,,,
2011,MNE,620079,17343,14472,7329,,,,,
2012,MNE,620601,16856,13864,6586,,,,,
2013,MNE,621207,17437,14870,7187,,,,,
2014,MNE,621810,17731,15371,7378,,,,,
2015,MNE,622159,18322,16333,6515,,,,,
2016,MNE,622303,18858,18199,7029,,,,,
2017,MNE,622373,19745,19745,7784,,,,,
2018,MNE,622227,20753,22227,8846,,,,,
2019,MNE,622137,21599,24036,8909,,,,,
2006,MNG,2558856,6306,5990,1334,,,,,
2007,MNG,2593820,6858,6689,1633,,,,,
2008,MNG,2631898,7361,7319,2137,,,,,
2009,MNG,2673796,7153,7167,1714,,,,,
2010,MNG,2719896,7480,7582,2643,,,,,
2011,MNG,2770362,8613,8913,3758,,,,,
2012,MNG,2824699,9488,10228,4352,,,,,
2013,MNG,2881792,10384,10550,4366,,,,,
2014,MNG,2940108,10980,11056,4159,,,,,
2015,MNG,2998439,11023,10767,3919,,,,,
2016,MNG,3056359,10940,10743,3660,,,,,
2017,MNG,3113779,11312,11312,3669,,,,,
2018,MNG,3170208,11916,12206,4135,,,,,
2019,MNG,3225167,12317,12862,4340,,,,,
2006,MNP,55882,,,17716,,,,,
2007,MNP,55219,,,16987,,,,,
2008,MNP,54625,,,17190,,,,,
2009,MNP,54193,,,14670,,,,,
2010,MNP,53971,,,14804,,,,,
2011,MNP,54012,,,13571,,,,,
2012,MNP,54311,,,13828,,,,,
2013,MNP,54784,,,14274,,,,,
2014,MNP,55305,,,15279,,,,,
2015,MNP,55780,,,16691,,,,,
2016,MNP,56188,,,22247,,,,,
2017,MNP,56562,,,28305,,,,,
2018,MNP,56882,,,23259,,,,,
2019,MNP,57216,,,,,,,,
2006,MOZ,21080110,876,766,435,,,,,
2007,MOZ,21673316,918,824,482,,,,,
2008,MOZ,22276596,958,878,564,,,,,
2009,MOZ,22894710,991,915,520,,,,,
2010,MOZ,23531574,1027,959,472,,,,,
2011,MOZ,24187487,1073,1023,595,,,,,
2012,MOZ,24862648,1120,1036,658,,,,,
2013,MOZ,25560725,1165,1085,664,,,,,
2014,MOZ,26286163,1217,1139,674,,,,,
2015,MOZ,27042002,1263,1291,590,,,,,
2016,MOZ,27829942,1274,1364,429,,,,,
2017,MOZ,28649007,1284,1284,461,,,,,
2018,MOZ,29495962,1290,1321,503,,,,,
2019,MOZ,30366036,1281,1338,504,,,,,
2006,MRT,3111906,5334,4290,1288,,,,,
2007,MRT,3202517,5081,4196,1351,,,,,
2008,MRT,3296238,4920,4143,1559,,,,,
2009,MRT,3393409,4784,4059,1392,,,,,
2010,MRT,3494195,4767,4092,1611,,,,,
2011,MRT,3598648,4822,4226,1880,,,,,
2012,MRT,3706554,4891,4262,1815,,,,,
2013,MRT,3817494,4946,4481,1892,,,,,
2014,MRT,3930896,5009,4295,1677,,,,,
2015,MRT,4046301,5127,4200,1524,,,,,
2016,MRT,4163534,5046,4700,1537,,,,,
2017,MRT,4282574,5077,5077,1578,,,,,
2018,MRT,4403319,5042,5165,1601,,,,,
2019,MRT,4525696,5197,5427,1679,,,,,
2006,MUS,1233996,14166,12406,5696,,,,,
2007,MUS,1239630,14909,13408,6575,,,,,
2008,MUS,1244121,15656,14353,8030,,,,,
2009,MUS,1247429,16132,14902,7318,,,,,
2010,MUS,1250400,16798,15699,8000,,,,,
2011,MUS,1252404,17455,16653,9197,,,,,
2012,MUS,1255882,18015,16964,9291,,,,,
2013,MUS,1258653,18579,17866,9637,,,,,
2014,MUS,1260934,19240,18488,10154,,,,,
2015,MUS,1262605,19897,19230,9260,,,,,
2016,MUS,1263473,20647,20701,9682,,,,,
2017,MUS,1264613,21415,21415,10485,,,,,
2018,MUS,1265303,22208,22749,11208,,,,,
2019,MUS,1265711,22870,23882,11099,,,,,
2006,MWI,12973699,795,786,308,,,,,
2007,MWI,13341806,847,860,332,,,,,
2008,MWI,13727890,886,917,388,,,,,
2009,MWI,14128155,933,973,438,,,,,
